Language Command,LTL Formula
go to the blue room keep going and stop when you reach the green room,F & blue_room F green_room
go to the green room via the blue room,F & blue_room F green_room
go through the blue room into the green room,F & blue_room F green_room
go over towards the blue room and up through it to the green rectangular room,F & blue_room F green_room
go through the blue to get to the green,F & blue_room F green_room
go through blue room to green room,F & blue_room F green_room
follow the path through the blue room to get to the green room,F & blue_room F green_room
go through the blue room to the green room,F & blue_room F green_room
go through blue rooms to get to the green one,F & blue_room F green_room
take the blue room first which leads to the green room,F & blue_room F green_room
only go to the green room by first entering the blue room,F & blue_room F green_room
go to the green room through the blue one,F & blue_room F green_room
go through the blue room to the green room,F & blue_room F green_room
go to the green area through blue area,F & blue_room F green_room
go through blue to get to green,F & blue_room F green_room
go through blue room to get to green room,F & blue_room F green_room
go through blue to green room,F & blue_room F green_room
please go to the green room through the blue room,F & blue_room F green_room
travel through the blue square room to the large green rectangular room,F & blue_room F green_room
go through the blue room to get to the green room,F & blue_room F green_room
move through a blue room and into the green room,F & blue_room F green_room
go through blue to reach green,F & blue_room F green_room
go to the green room through blue,F & blue_room F green_room
move through the blue room into the green room,F & blue_room F green_room
go into the green room through the blue room,F & blue_room F green_room
go through the blue room to the green room,F & blue_room F green_room
go through the blue room to get to the green room,F & blue_room F green_room
go into the blue room and then the green room,F & blue_room F green_room
go to green rectangle via blue square,F & blue_room F green_room
go to the green room through the blue room,F & blue_room F green_room
go through the blue room to the green room,F & blue_room F green_room
go to the blue room then to the green room,F & blue_room F green_room
go to the green room via the blue room,F & blue_room F green_room
travel through the blue room into the green room,F & blue_room F green_room
go to large green room through blue room,F & blue_room F green_room
go to the blue room only and then the green room only,F & blue_room F green_room
navigate through blue to reach green,F & blue_room F green_room
enter the green room through the blue room,F & blue_room F green_room
make your way to the green room by going through the blue room,F & blue_room F green_room
the robot moves through the blue room to get to the green room,F & blue_room F green_room
enter the blue room and proceed until the green room,F & blue_room F green_room
go through the blue room towards the green room,F & blue_room F green_room
go through the blue room into the green room,F & blue_room F green_room
go to the green room by passing through the blue room,F & blue_room F green_room
enter the door to the blue room and exit the other door into the green room,F & blue_room F green_room
travel through the blue room to the green room,F & blue_room F green_room
enter green room via blue room,F & blue_room F green_room
go through blue room to green room,F & blue_room F green_room
go through the blue room until you get to the green,F & blue_room F green_room
move through the blue room to the green room,F & blue_room F green_room
travel through the blue room to go into the green room,F & blue_room F green_room
go to the green room via the blue room,F & blue_room F green_room
always walk through the blue room to get to the green room,F & blue_room F green_room
the robot moves towards the green room through the blue room,F & blue_room F green_room
go thru the blue box to get to the green box,F & blue_room F green_room
move to the blue room and then to the green room,F & blue_room F green_room
instead of going through the red room move through the blue room to enter the green room,F & blue_room F green_room
go to the blue room then to the green room,F & blue_room F green_room
go through the blue room in to the green room,F & blue_room F green_room
go thru the blue to get to the green,F & blue_room F green_room
go through the blue room to get to the green room,F & blue_room F green_room
go through the blue room to enter the green room,F & blue_room F green_room
the robot goes to the blue to get to the green,F & blue_room F green_room
walk pass the blue room into the green room,F & blue_room F green_room
move to the large green room by passing through the small blue room,F & blue_room F green_room
enter the blue room and then the green room,F & blue_room F green_room
go through the blue room to the green room,F & blue_room F green_room
you must walk through the blue room to get to the green room,F & blue_room F green_room
move through the blue room to the green room,F & blue_room F green_room
go to the green room only through the blue room,F & blue_room F green_room
go through the blue room and enter the green room,F & blue_room F green_room
walk through the blue room until you reach the green room,F & blue_room F green_room
cross the blue room only to reach the green room,F & blue_room F green_room
go to blue room then go to green room,F & blue_room F green_room
go through the blue room to get to the green room,F & blue_room F green_room
go to the blue room then go to the green room,F & blue_room F green_room
go to the green room via the blue room,F & blue_room F green_room
go through the door to the blue room and continue into the green room,F & blue_room F green_room
first enter the blue room and then proceed to the green room,F & blue_room F green_room
move toward the blue room then into the green room,F & blue_room F green_room
move into the green room while being sure to pass through only the blue room,F & blue_room F green_room
go to the green room by first entering the blue room,F & blue_room F green_room
pass through the blue room to reach the green room,F & blue_room F green_room
the robot goes through the blue to get to the green,F & blue_room F green_room
go through the blue room to the green room,F & blue_room F green_room
go through the blue room to reach the green room,F & blue_room F green_room
go into the green room by way of the blue room,F & blue_room F green_room
go through the blue room while moving to the green room,F & blue_room F green_room
pass through the small blue room to get to the large green room,F & blue_room F green_room
go through the blue room to get to the green room,F & blue_room F green_room
move through the green rooms to get to the blue room,F & green_room F blue_room
go from the pink room to the blue room by going through the green room,F & green_room F blue_room
go through the green room to the blue room,F & green_room F blue_room
pass through the small green room to get to the large blue room,F & green_room F blue_room
move to the blue room by going through the green room first,F & green_room F blue_room
move into the blue room through the green room,F & green_room F blue_room
travel through the green room to the blue room,F & green_room F blue_room
go through the green box to get to the blue area,F & green_room F blue_room
go through the green room in to the blue room,F & green_room F blue_room
enter blue room through green room,F & green_room F blue_room
robot goes through green and ends up in blue,F & green_room F blue_room
move into the blue room but only via the green room,F & green_room F blue_room
go through the green room to the blue room,F & green_room F blue_room
go through the green room into the blue room,F & green_room F blue_room
enter the blue room through the green door only,F & green_room F blue_room
the robot must go into the blue room by going through the green room,F & green_room F blue_room
go through the green room to the blue room,F & green_room F blue_room
go to the blue area through green area,F & green_room F blue_room
go to green room before blue room,F & green_room F blue_room
go to the blue room via the green room,F & green_room F blue_room
go up through the green box to the blue box,F & green_room F blue_room
go to blue room through green room,F & green_room F blue_room
go to the blue room but only go through the green room to get there,F & green_room F blue_room
go through the green room into the blue room,F & green_room F blue_room
only go through green rooms to get to blue rooms,F & green_room F blue_room
go via green color path to reach blue room,F & green_room F blue_room
go through the green room to get to the blue room,F & green_room F blue_room
go through the green room and then into the blue room,F & green_room F blue_room
go through green to get to blue,F & green_room F blue_room
go to the green room and then go to the blue room,F & green_room F blue_room
the robot goes through the green to get to blue,F & green_room F blue_room
go to the blue room and make sure to go through the green room,F & green_room F blue_room
move through the green room to gain access to the large blue room,F & green_room F blue_room
go through the green room to reach the blue room,F & green_room F blue_room
pass through the small green room to get to the large blue room,F & green_room F blue_room
move through the green room to the blue room,F & green_room F blue_room
go to green room then to blue room,F & green_room F blue_room
go through green rooms to get to the blue one,F & green_room F blue_room
go through the green room to the blue room,F & green_room F blue_room
pass through the green room to the blue room,F & green_room F blue_room
go through the green room to the blue room,F & green_room F blue_room
move through green room to the blue room,F & green_room F blue_room
go through the green room and into the blue room,F & green_room F blue_room
avoiding all but the green rectangle travel to the blue area,F & green_room F blue_room
move to reach the blue place by taking a path which has green colour and white colour in it while avoiding black yellow and red colour,F & green_room F blue_room
go through the green room into the blue room,F & green_room F blue_room
move to blue room through the green room,F & green_room F blue_room
pass through the green room to the blue room,F & green_room F blue_room
go to the blue room through the green room,F & green_room F blue_room
go through the green room into the blue room,F & green_room F blue_room
enter the blue room by going though the green room,F & green_room F blue_room
go towards the blue room through the green room,F & green_room F blue_room
go through the green room to reach the blue room,F & green_room F blue_room
move through the green room to the blue room,F & green_room F blue_room
the robot goes through green to get to blue,F & green_room F blue_room
enter the blue room through the green room,F & green_room F blue_room
enter the blue room by way of the green room,F & green_room F blue_room
progress through green rectangle room to the large blue room,F & green_room F blue_room
go through the green room to the blue room,F & green_room F blue_room
go to the blue room via the green room,F & green_room F blue_room
to reach the blue go through the green,F & green_room F blue_room
enter the green room and exit into the blue room,F & green_room F blue_room
travel through the green room to the blue rectangular room,F & green_room F blue_room
go through the green and to the blue,F & green_room F blue_room
go through the green room to the blue room,F & green_room F blue_room
enter blue room via green room,F & green_room F blue_room
go through the green room to get to the blue room,F & green_room F blue_room
go through the green room to the blue room,F & green_room F blue_room
go up through the green room into the blue room,F & green_room F blue_room
go through the green room to get to the blue room,F & green_room F blue_room
go through the green room to get to the blue room,F & green_room F blue_room
follow the green room to the blue room,F & green_room F blue_room
go to blue via green,F & green_room F blue_room
first enter the green room and then move to the blue room,F & green_room F blue_room
move toward the green room then into the blue room,F & green_room F blue_room
go through the green room in to the blue room,F & green_room F blue_room
move through the green room and into the blue room,F & green_room F blue_room
go through the green room into the blue room,F & green_room F blue_room
go through green to get to blue,F & green_room F blue_room
move through the green room and out into the blue room,F & green_room F blue_room
go through the green room to get to the blue room,F & green_room F blue_room
move through the hallway to the blue room but only if it takes you through a green room,F & green_room F blue_room
go to the green room then go to the blue room,F & green_room F blue_room
go through the green room and into the blue room,F & green_room F blue_room
go through the green room to get to the blue room,F & green_room F blue_room
go through the green room into the blue room,F & green_room F blue_room
move through the green room to get to the blue room,F & green_room F blue_room
go through green rooms to get to the blue one,F & green_room F blue_room
move to the large blue room by passing through the small green room,F & green_room F blue_room
move to the red room,F red_room
move to the red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
move from your room to the red room,F red_room
move to the red room,F red_room
go in to the red room,F red_room
go to the red room,F red_room
move into the red room and stay on the first square you end up on,F red_room
go to red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
go to the red room,F red_room
go into the red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
move to the red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
move into the red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
move to the red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
go into the red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
go to red room,F red_room
move to the red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
go to the red room,F red_room
move into the red room,F red_room
move to red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
move to the red room,F red_room
go to the red room,F red_room
move to red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
move into red room,F red_room
go into the red room,F red_room
move to the red room,F red_room
go to the red room,F red_room
move to the red room and stop after entering,F red_room
go to the red room,F red_room
move to the red room,F red_room
move to the red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
go to red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
go into the red room,F red_room
go to the red room,F red_room
move into the red room,F red_room
go to the red room,F red_room
move to red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
go into the red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
move to the red room,F red_room
enter the red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
go to red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
i want you to go into the red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
move to red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
move to red room,F red_room
move to the red room,F red_room
move to the red room,F red_room
move to the red room,F red_room
go to the red room,F red_room
go to red room,F red_room
go to red room,F red_room
move to the red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
move to the red room,F red_room
move to the red room,F red_room
go into the red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
go to the red,F red_room
move to red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
move to the red room,F red_room
move to the red room,F red_room
go into the red room,F red_room
move to the red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
move to the red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
go to red room,F red_room
move to the red room,F red_room
go to red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
go to red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
move into the red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
go to the red room,F red_room
go to red room,F red_room
move to red room,F red_room
go to red room,F red_room
move to the red room,F red_room
move to the red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
go only through rooms that are not yellow to get to the green room,& F green_room G ! yellow_room
make your way to the green room while avoiding the yellow room,& F green_room G ! yellow_room
proceed to green area while avoiding the yellow area,& F green_room G ! yellow_room
move through the room that is not yellow into the green room,& F green_room G ! yellow_room
go to green area avoiding yellow area,& F green_room G ! yellow_room
do not go through the yellow room while going to the green room,& F green_room G ! yellow_room
go into the green room without crossing the yellow room,& F green_room G ! yellow_room
move to the green room but do not go through the yellow room,& F green_room G ! yellow_room
the robot is to move towards the green room without entering a yellow room,& F green_room G ! yellow_room
go to the green room without entering a yellow room,& F green_room G ! yellow_room
the robot avoids yellow to get to the green,& F green_room G ! yellow_room
avoid yellow area on way to green area each time,& F green_room G ! yellow_room
while avoiding yellow navigate to green,& F green_room G ! yellow_room
go to the green room without using the yellow room,& F green_room G ! yellow_room
enter the green room without entering a yellow room,& F green_room G ! yellow_room
go to the green room but do not enter the yellow room first,& F green_room G ! yellow_room
enter green room via the non yellow room,& F green_room G ! yellow_room
move to room not using yellow into the green room,& F green_room G ! yellow_room
go to green area by avoiding yellow area,& F green_room G ! yellow_room
avoid yellow find green,& F green_room G ! yellow_room
go through the room that is not yellow to get to the green room,& F green_room G ! yellow_room
go to the green room but avoid the yellow room,& F green_room G ! yellow_room
go to the green room while avoiding the yellow rooms,& F green_room G ! yellow_room
move to the large green room while avoiding the small yellow room,& F green_room G ! yellow_room
avoid the yellow room and end at the green rectangular room,& F green_room G ! yellow_room
enter the room that is not yellow and then proceed to the green room,& F green_room G ! yellow_room
move to the room that is not yellow and then move into the green room,& F green_room G ! yellow_room
enter the room through the door that is not yellow drive through the room and exit the other door to the green room,& F green_room G ! yellow_room
to reach the green room do not go through the yellow room,& F green_room G ! yellow_room
travel to the green room but do not go through the yellow room,& F green_room G ! yellow_room
go to the green room but avoid the yellow room,& F green_room G ! yellow_room
go to the green room avoiding the yellow room,& F green_room G ! yellow_room
go to the green room but avoid the yellow room,& F green_room G ! yellow_room
go to green room but do not enter yellow room,& F green_room G ! yellow_room
go to the green room but avoid using the yellow room,& F green_room G ! yellow_room
travel to the green room through the room that is not yellow,& F green_room G ! yellow_room
go into the green room while totally avoiding the yellow room,& F green_room G ! yellow_room
go to the green room but do not go to yellow,& F green_room G ! yellow_room
go to the green room while avoiding the yellow rooms,& F green_room G ! yellow_room
go to the green room but do not enter the yellow room,& F green_room G ! yellow_room
avoid the yellow rooms on your way into the green rooms,& F green_room G ! yellow_room
get to the green rectangle but do not go through the yellow square,& F green_room G ! yellow_room
enter the green room without entering a yellow room,& F green_room G ! yellow_room
do not go through the yellow room while going to the green room,& F green_room G ! yellow_room
go to the green room but avoid going through the yellow room,& F green_room G ! yellow_room
go through the yellow or red room to reach the blue room,F & | red_room yellow_room F blue_room
go the red or yellow room into the blue room,F & | red_room yellow_room F blue_room
move the robot from the pink room to the yellow or red room to the big blue room,F & | red_room yellow_room F blue_room
go through the red or yellow room to reach the blue room,F & | red_room yellow_room F blue_room
go through the passage into the blue room but only if you go through a yellow or red room first,F & | red_room yellow_room F blue_room
move to the blue room by going through red or yellow only,F & | red_room yellow_room F blue_room
enter the yellow or red room and then continue to the blue room,F & | red_room yellow_room F blue_room
go through the red or yellow room and go to the blue room,F & | red_room yellow_room F blue_room
go through the red or yellow to get to the blue room,F & | red_room yellow_room F blue_room
go through the yellow or red room and enter the blue room,F & | red_room yellow_room F blue_room
move through the yellow or red room to the blue room,F & | red_room yellow_room F blue_room
pass thru either the red or yellow box to get to the blue box,F & | red_room yellow_room F blue_room
go through the red or the yellow room to get to the blue room,F & | red_room yellow_room F blue_room
