LTL template,Sentence,LTL
F(a & F(b)),Go to Citizen's Bank and then go to Kabob and Curry,F ( Citizen's Bank & F ( Kabob and Curry ) )
F(a & F(b)),Go to Citizen's Bank and then go to CVS,F ( Citizen's Bank & F ( CVS ) )
F(a & F(b)),Go to Citizen's Bank and then go to Barus Building,F ( Citizen's Bank & F ( Barus Building ) )
F(a & F(b)),Go to Citizen's Bank and then go to Watson Center,F ( Citizen's Bank & F ( Watson Center ) )
F(a & F(b)),Go to Citizen's Bank and then go to Marston Hall,F ( Citizen's Bank & F ( Marston Hall ) )
F(a & F(b)),Go to Citizen's Bank and then go to FedEx Office,F ( Citizen's Bank & F ( FedEx Office ) )
F(a & F(b)),Go to Citizen's Bank and then go to Nelson Fitness Center,F ( Citizen's Bank & F ( Nelson Fitness Center ) )
F(a & F(b)),Go to Barus Building and then go to Bookstore,F ( Barus Building & F ( Bookstore ) )
F(a & F(b)),Go to Barus Building and then go to Science Library,F ( Barus Building & F ( Science Library ) )
F(a & F(b)),Go to Barus Building and then go to Chipotle,F ( Barus Building & F ( Chipotle ) )
F(a & F(b)),Go to Barus Building and then go to Starbucks,F ( Barus Building & F ( Starbucks ) )
F(a & F(b)),Go to Barus Building and then go to Kabob and Curry,F ( Barus Building & F ( Kabob and Curry ) )
F(a & F(b)),Go to Barus Building and then go to CVS,F ( Barus Building & F ( CVS ) )
F(a & F(b)),Go to Barus Building and then go to Citizen's Bank,F ( Barus Building & F ( Citizen's Bank ) )
F(a & F(b)),Go to Barus Building and then go to Watson Center,F ( Barus Building & F ( Watson Center ) )
F(a & F(b)),Go to Barus Building and then go to Marston Hall,F ( Barus Building & F ( Marston Hall ) )
F(a & F(b)),Go to Barus Building and then go to FedEx Office,F ( Barus Building & F ( FedEx Office ) )
F(a & F(b)),Go to Barus Building and then go to Nelson Fitness Center,F ( Barus Building & F ( Nelson Fitness Center ) )
F(a & F(b)),Go to Watson Center and then go to Bookstore,F ( Watson Center & F ( Bookstore ) )
F(a & F(b)),Go to Watson Center and then go to Science Library,F ( Watson Center & F ( Science Library ) )
F(a & F(b)),Go to Watson Center and then go to Chipotle,F ( Watson Center & F ( Chipotle ) )
F(a & F(b)),Go to Watson Center and then go to Starbucks,F ( Watson Center & F ( Starbucks ) )
F(a & F(b)),Go to Watson Center and then go to Kabob and Curry,F ( Watson Center & F ( Kabob and Curry ) )
F(a & F(b)),Go to Watson Center and then go to CVS,F ( Watson Center & F ( CVS ) )
F(a & F(b)),Go to Watson Center and then go to Citizen's Bank,F ( Watson Center & F ( Citizen's Bank ) )
F(a & F(b)),Go to Watson Center and then go to Barus Building,F ( Watson Center & F ( Barus Building ) )
F(a & F(b)),Go to Watson Center and then go to Marston Hall,F ( Watson Center & F ( Marston Hall ) )
F(a & F(b)),Go to Watson Center and then go to FedEx Office,F ( Watson Center & F ( FedEx Office ) )
F(a & F(b)),Go to Watson Center and then go to Nelson Fitness Center,F ( Watson Center & F ( Nelson Fitness Center ) )
F(a & F(b)),Go to Marston Hall and then go to Bookstore,F ( Marston Hall & F ( Bookstore ) )
F(a & F(b)),Go to Marston Hall and then go to Science Library,F ( Marston Hall & F ( Science Library ) )
F(a & F(b)),Go to Marston Hall and then go to Chipotle,F ( Marston Hall & F ( Chipotle ) )
F(a & F(b)),Go to Marston Hall and then go to Starbucks,F ( Marston Hall & F ( Starbucks ) )
F(a & F(b)),Go to Marston Hall and then go to Kabob and Curry,F ( Marston Hall & F ( Kabob and Curry ) )
F(a & F(b)),Go to Marston Hall and then go to CVS,F ( Marston Hall & F ( CVS ) )
F(a & F(b)),Go to Marston Hall and then go to Citizen's Bank,F ( Marston Hall & F ( Citizen's Bank ) )
F(a & F(b)),Go to Marston Hall and then go to Barus Building,F ( Marston Hall & F ( Barus Building ) )
F(a & F(b)),Go to Marston Hall and then go to Watson Center,F ( Marston Hall & F ( Watson Center ) )
F(a & F(b)),Go to Marston Hall and then go to FedEx Office,F ( Marston Hall & F ( FedEx Office ) )
F(a & F(b)),Go to Marston Hall and then go to Nelson Fitness Center,F ( Marston Hall & F ( Nelson Fitness Center ) )
F(a & F(b)),Go to FedEx Office and then go to Bookstore,F ( FedEx Office & F ( Bookstore ) )
F(a & F(b)),Go to FedEx Office and then go to Science Library,F ( FedEx Office & F ( Science Library ) )
F(a & F(b)),Go to FedEx Office and then go to Chipotle,F ( FedEx Office & F ( Chipotle ) )
F(a & F(b)),Go to FedEx Office and then go to Starbucks,F ( FedEx Office & F ( Starbucks ) )
F(a & F(b)),Go to FedEx Office and then go to Kabob and Curry,F ( FedEx Office & F ( Kabob and Curry ) )
F(a & F(b)),Go to FedEx Office and then go to CVS,F ( FedEx Office & F ( CVS ) )
F(a & F(b)),Go to FedEx Office and then go to Citizen's Bank,F ( FedEx Office & F ( Citizen's Bank ) )
F(a & F(b)),Go to FedEx Office and then go to Barus Building,F ( FedEx Office & F ( Barus Building ) )
F(a & F(b)),Go to FedEx Office and then go to Watson Center,F ( FedEx Office & F ( Watson Center ) )
F(a & F(b)),Go to FedEx Office and then go to Marston Hall,F ( FedEx Office & F ( Marston Hall ) )
F(a & F(b)),Go to FedEx Office and then go to Nelson Fitness Center,F ( FedEx Office & F ( Nelson Fitness Center ) )
F(a & F(b)),Go to Nelson Fitness Center and then go to Bookstore,F ( Nelson Fitness Center & F ( Bookstore ) )
F(a & F(b)),Go to Nelson Fitness Center and then go to Science Library,F ( Nelson Fitness Center & F ( Science Library ) )
F(a & F(b)),Go to Nelson Fitness Center and then go to Chipotle,F ( Nelson Fitness Center & F ( Chipotle ) )
F(a & F(b)),Go to Nelson Fitness Center and then go to Starbucks,F ( Nelson Fitness Center & F ( Starbucks ) )
F(a & F(b)),Go to Nelson Fitness Center and then go to Kabob and Curry,F ( Nelson Fitness Center & F ( Kabob and Curry ) )
F(a & F(b)),Go to Nelson Fitness Center and then go to CVS,F ( Nelson Fitness Center & F ( CVS ) )
F(a & F(b)),Go to Nelson Fitness Center and then go to Citizen's Bank,F ( Nelson Fitness Center & F ( Citizen's Bank ) )
F(a & F(b)),Go to Nelson Fitness Center and then go to Barus Building,F ( Nelson Fitness Center & F ( Barus Building ) )
F(a & F(b)),Go to Nelson Fitness Center and then go to Watson Center,F ( Nelson Fitness Center & F ( Watson Center ) )
F(a & F(b)),Go to Nelson Fitness Center and then go to Marston Hall,F ( Nelson Fitness Center & F ( Marston Hall ) )
F(a & F(b)),Go to Nelson Fitness Center and then go to FedEx Office,F ( Nelson Fitness Center & F ( FedEx Office ) )
G(a) & F(b),Stay on Thayer St and find Bookstore,G ( Thayer St ) & F ( Bookstore )
G(a) & F(b),Stay on Thayer St and find Science Library,G ( Thayer St ) & F ( Science Library )
G(a) & F(b),Stay on Thayer St and find Starbucks,G ( Thayer St ) & F ( Starbucks )
G(a) & F(b),Stay on Thayer St and find Chipotle,G ( Thayer St ) & F ( Chipotle )
G(a) & F(b),Stay on Thayer St and find Kabob and Curry,G ( Thayer St ) & F ( Kabob and Curry )
G(a) & F(b),Stay on Thayer St and find CVS,G ( Thayer St ) & F ( CVS )
G(a) & F(b),Stay on Brook St and find Citizen's Bank,G ( Brook St ) & F ( Citizen's Bank )
G(a) & F(b),Stay on Brook St and find Barus Building,G ( Brook St ) & F ( Barus Building )
G(a) & F(b),Stay on Brook St and find Watson Center,G ( Brook St ) & F ( Watson Center )
G(a) & F(b),Stay on Brook St and find Marston Hall,G ( Brook St ) & F ( Marston Hall )
G(a) & F(b),Stay on Angell St and find Chipotle,G ( Angell St  ) & F ( Chipotle )
G(a) & F(b),Stay on Angell St and find Bookstore,G ( Angell St  ) & F ( Bookstore )
G(a) & F(b),Do not leave Thayer St and find Bookstore,G ( Thayer St ) & F ( Bookstore )
G(a) & F(b),Do not leave Thayer St and find Science Library,G ( Thayer St ) & F ( Science Library )
G(a) & F(b),Do not leave Thayer St and find Starbucks,G ( Thayer St ) & F ( Starbucks )
G(a) & F(b),Do not leave Thayer St and find Chipotle,G ( Thayer St ) & F ( Chipotle )
G(a) & F(b),Do not leave Thayer St and find Kabob and Curry,G ( Thayer St ) & F ( Kabob and Curry )
G(a) & F(b),Do not leave Thayer St and find CVS,G ( Thayer St ) & F ( CVS )
G(a) & F(b),Do not leave Brook St and find Citizen's Bank,G ( Brook St ) & F ( Citizen's Bank )
G(a) & F(b),Do not leave Brook St and find Barus Building,G ( Brook St ) & F ( Barus Building )
G(a) & F(b),Do not leave Brook St and find Watson Center,G ( Brook St ) & F ( Watson Center )
G(a) & F(b),Do not leave Brook St and find Marston Hall,G ( Brook St ) & F ( Marston Hall )
G(a) & F(b),Do not leave Angell St and find Chipotle,G ( Angell St  ) & F ( Chipotle )
G(a) & F(b),Do not leave Angell St and find Bookstore,G ( Angell St  ) & F ( Bookstore )
G(!a) & F(b),Do not enter Brook St and find Bookstore,G ( ! Brook St ) & F ( Bookstore )
G(!a) & F(b),Do not enter Brook St and find Science Library,G ( ! Brook St ) & F ( Science Library )
G(!a) & F(b),Do not enter Brook St and find Starbucks,G ( ! Brook St ) & F ( Starbucks )
G(!a) & F(b),Do not enter Brook St and find Chipotle,G ( ! Brook St ) & F ( Chipotle )
G(!a) & F(b),Do not enter Brook St and find Kabob and Curry,G ( ! Brook St ) & F ( Kabob and Curry )
G(!a) & F(b),Do not enter Brook St and find CVS,G ( ! Brook St ) & F ( CVS )
G(!a) & F(b),Do not enter Brook St and find Chipotle,G ( ! Brook St ) & F ( Chipotle )
G(!a) & F(b),Do not enter Brook St and find Bookstore,G ( ! Brook St ) & F ( Bookstore )
G(!a) & F(b),Do not enter Thayer St and find Citizen's Bank,G ( ! Thayer St ) & F ( Citizen's Bank )
G(!a) & F(b),Do not enter Thayer St and find Barus Building,G ( ! Thayer St ) & F ( Barus Building )
G(!a) & F(b),Do not enter Thayer St and find Watson Center,G ( ! Thayer St ) & F ( Watson Center )
G(!a) & F(b),Do not enter Thayer St and find Marston Hall,G ( ! Thayer St ) & F ( Marston Hall )
G(!a) & F(b),Do not enter Thayer St and find Chipotle,G ( ! Thayer St ) & F ( Chipotle )
G(!a) & F(b),Do not enter Thayer St and find Bookstore,G ( ! Thayer St ) & F ( Bookstore )
G(!a) & F(b),Do not enter Angell St and find Bookstore,G ( ! Angell St ) & F ( Bookstore )
G(!a) & F(b),Do not enter Angell St and find Science Library,G ( ! Angell St ) & F ( Science Library )
G(!a) & F(b),Do not enter Angell St and find Starbucks,G ( ! Angell St ) & F ( Starbucks )
G(!a) & F(b),Do not enter Angell St and find Chipotle,G ( ! Angell St ) & F ( Chipotle )
G(!a) & F(b),Do not enter Angell St and find Kabob and Curry,G ( ! Angell St ) & F ( Kabob and Curry )
G(!a) & F(b),Do not enter Angell St and find CVS,G ( ! Angell St ) & F ( CVS )
G(!a) & F(b),Do not enter Angell St and find Citizen's Bank,G ( ! Angell St ) & F ( Citizen's Bank )
G(!a) & F(b),Do not enter Angell St and find Barus Building,G ( ! Angell St ) & F ( Barus Building )
G(!a) & F(b),Do not enter Angell St and find Watson Center,G ( ! Angell St ) & F ( Watson Center )
G(!a) & F(b),Do not enter Angell St and find Marston Hall,G ( ! Angell St ) & F ( Marston Hall )
G(!a) & F(b),Stay away from Brook St and find Bookstore,G ( ! Brook St ) & F ( Bookstore )
G(!a) & F(b),Stay away from Brook St and find Science Library,G ( ! Brook St ) & F ( Science Library )
G(!a) & F(b),Stay away from Brook St and find Starbucks,G ( ! Brook St ) & F ( Starbucks )
G(!a) & F(b),Stay away from Brook St and find Chipotle,G ( ! Brook St ) & F ( Chipotle )
G(!a) & F(b),Stay away from Brook St and find Kabob and Curry,G ( ! Brook St ) & F ( Kabob and Curry )
G(!a) & F(b),Stay away from Brook St and find CVS,G ( ! Brook St ) & F ( CVS )
G(!a) & F(b),Stay away from Brook St and find Chipotle,G ( ! Brook St ) & F ( Chipotle )
G(!a) & F(b),Stay away from Brook St and find Bookstore,G ( ! Brook St ) & F ( Bookstore )
G(!a) & F(b),Stay away from Thayer St and find Citizen's Bank,G ( ! Thayer St ) & F ( Citizen's Bank )
G(!a) & F(b),Stay away from Thayer St and find Barus Building,G ( ! Thayer St ) & F ( Barus Building )
G(!a) & F(b),Stay away from Thayer St and find Watson Center,G ( ! Thayer St ) & F ( Watson Center )
G(!a) & F(b),Stay away from Thayer St and find Marston Hall,G ( ! Thayer St ) & F ( Marston Hall )
G(!a) & F(b),Stay away from Thayer St and find Chipotle,G ( ! Thayer St ) & F ( Chipotle )
G(!a) & F(b),Stay away from Thayer St and find Bookstore,G ( ! Thayer St ) & F ( Bookstore )
G(!a) & F(b),Stay away from Angell St and find Bookstore,G ( ! Angell St ) & F ( Bookstore )
G(!a) & F(b),Stay away from Angell St and find Science Library,G ( ! Angell St ) & F ( Science Library )
G(!a) & F(b),Stay away from Angell St and find Starbucks,G ( ! Angell St ) & F ( Starbucks )
G(!a) & F(b),Stay away from Angell St and find Chipotle,G ( ! Angell St ) & F ( Chipotle )
G(!a) & F(b),Stay away from Angell St and find Kabob and Curry,G ( ! Angell St ) & F ( Kabob and Curry )
G(!a) & F(b),Stay away from Angell St and find CVS,G ( ! Angell St ) & F ( CVS )
G(!a) & F(b),Stay away from Angell St and find Citizen's Bank,G ( ! Angell St ) & F ( Citizen's Bank )
G(!a) & F(b),Stay away from Angell St and find Barus Building,G ( ! Angell St ) & F ( Barus Building )
G(!a) & F(b),Stay away from Angell St and find Watson Center,G ( ! Angell St ) & F ( Watson Center )
G(!a) & F(b),Stay away from Angell St and find Marston Hall,G ( ! Angell St ) & F ( Marston Hall )
G(a) & F(b & F(c)),Stay on Thayer St first find Bookstore and then find Science Library,G ( Thayer St ) & F ( Bookstore & F ( Science Library ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Bookstore and then find Starbucks,G ( Thayer St ) & F ( Bookstore & F ( Starbucks ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Bookstore and then find Chipotle,G ( Thayer St ) & F ( Bookstore & F ( Chipotle ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Bookstore and then find Kabob and Curry,G ( Thayer St ) & F ( Bookstore & F ( Kabob and Curry ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Bookstore and then find CVS,G ( Thayer St ) & F ( Bookstore & F ( CVS ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Science Library and then find Starbucks,G ( Thayer St ) & F ( Science Library & F ( Starbucks ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Science Library and then find Chipotle,G ( Thayer St ) & F ( Science Library & F ( Chipotle ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Science Library and then find Kabob and Curry,G ( Thayer St ) & F ( Science Library & F ( Kabob and Curry ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Science Library and then find CVS,G ( Thayer St ) & F ( Science Library & F ( CVS ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Science Library and then find Bookstore,G ( Thayer St ) & F ( Science Library & F ( Bookstore ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Starbucks and then find Science Library,G ( Thayer St ) & F ( Starbucks & F ( Science Library ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Starbucks and then find Chipotle,G ( Thayer St ) & F ( Starbucks & F ( Chipotle ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Starbucks and then find Kabob and Curry,G ( Thayer St ) & F ( Starbucks & F ( Kabob and Curry ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Starbucks and then find CVS,G ( Thayer St ) & F ( Starbucks & F ( CVS ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Starbucks and then find Bookstore,G ( Thayer St ) & F ( Starbucks & F ( Bookstore ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Chipotle and then find Science Library,G ( Thayer St ) & F ( Chipotle & F ( Science Library ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Chipotle and then find Starbucks,G ( Thayer St ) & F ( Chipotle & F ( Starbucks ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Chipotle and then find Kabob and Curry,G ( Thayer St ) & F ( Chipotle & F ( Kabob and Curry ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Chipotle and then find CVS,G ( Thayer St ) & F ( Chipotle & F ( CVS ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Chipotle and then find Bookstore,G ( Thayer St ) & F ( Chipotle & F ( Bookstore ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Kabob and Curry and then find Science Library,G ( Thayer St ) & F ( Kabob and Curry & F ( Science Library ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Kabob and Curry and then find Starbucks,G ( Thayer St ) & F ( Kabob and Curry & F ( Starbucks ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Kabob and Curry and then find Chipotle,G ( Thayer St ) & F ( Kabob and Curry & F ( Chipotle ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Kabob and Curry and then find CVS,G ( Thayer St ) & F ( Kabob and Curry & F ( CVS ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Kabob and Curry and then find Bookstore,G ( Thayer St ) & F ( Kabob and Curry & F ( Bookstore ) )
G(a) & F(b & F(c)),Stay on Thayer St first find CVS and then find Science Library,G ( Thayer St ) & F ( CVS & F ( Science Library ) )
G(a) & F(b & F(c)),Stay on Thayer St first find CVS and then find Starbucks,G ( Thayer St ) & F ( CVS & F ( Starbucks ) )
G(a) & F(b & F(c)),Stay on Thayer St first find CVS and then find Chipotle,G ( Thayer St ) & F ( CVS & F ( Chipotle ) )
G(a) & F(b & F(c)),Stay on Thayer St first find CVS and then find Kabob and Curry,G ( Thayer St ) & F ( CVS & F ( Kabob and Curry ) )
G(a) & F(b & F(c)),Stay on Thayer St first find CVS and then find Bookstore,G ( Thayer St ) & F ( CVS & F ( Bookstore ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Bookstore and then find Science Library,G ( Thayer St ) & F ( Bookstore & F ( Science Library ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Bookstore and then find Starbucks,G ( Thayer St ) & F ( Bookstore & F ( Starbucks ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Bookstore and then find Chipotle,G ( Thayer St ) & F ( Bookstore & F ( Chipotle ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Bookstore and then find Kabob and Curry,G ( Thayer St ) & F ( Bookstore & F ( Kabob and Curry ) )
G(a) & F(b & F(c)),Stay on Thayer St first find Bookstore and then find CVS,G ( Thayer St ) & F ( Bookstore & F ( CVS ) )
G(a) & F(b & F(c)),Stay on Brook St first find Citizen's Bank and then find Barus Building,G ( Brook St ) & F ( Citizen's Bank & F ( Barus Building ) )
G(a) & F(b & F(c)),Stay on Brook St first find Citizen's Bank and then find Watson Center,G ( Brook St ) & F ( Citizen's Bank & F ( Watson Center ) )
G(a) & F(b & F(c)),Stay on Brook St first find Citizen's Bank and then find Marston Hall,G ( Brook St ) & F ( Citizen's Bank & F ( Marston Hall ) )
G(a) & F(b & F(c)),Stay on Brook St first find Barus Building and then find Watson Center,G ( Brook St ) & F ( Barus Building & F ( Watson Center ) )
G(a) & F(b & F(c)),Stay on Brook St first find Barus Building and then find Marston Hall,G ( Brook St ) & F ( Barus Building & F ( Marston Hall ) )
G(a) & F(b & F(c)),Stay on Brook St first find Barus Building and then find Citizen's Bank,G ( Brook St ) & F ( Barus Building & F ( Citizen's Bank ) )
G(a) & F(b & F(c)),Stay on Brook St first find Marston Hall and then find Watson Center,G ( Brook St ) & F ( Marston Hall & F ( Watson Center ) )
G(a) & F(b & F(c)),Stay on Brook St first find Marston Hall and then find Barus Building,G ( Brook St ) & F ( Marston Hall & F ( Barus Building ) )
G(a) & F(b & F(c)),Stay on Brook St first find Marston Hall and then find Citizen's Bank,G ( Brook St ) & F ( Marston Hall & F ( Citizen's Bank ) )
G(a) & F(b & F(c)),Stay on Brook St first find Watson Center and then find Marston Hall,G ( Brook St ) & F ( Watson Center & F ( Marston Hall ) )
G(a) & F(b & F(c)),Stay on Brook St first find Watson Center and then find Barus Building,G ( Brook St ) & F ( Watson Center & F ( Barus Building ) )
G(a) & F(b & F(c)),Stay on Brook St first find Watson Center and then find Citizen's Bank,G ( Brook St ) & F ( Watson Center & F ( Citizen's Bank ) )
G(a) & F(b & F(c)),Stay on Brook St first find Citizen's Bank and then find Barus Building,G ( Brook St ) & F ( Citizen's Bank & F ( Barus Building ) )
G(a) & F(b & F(c)),Stay on Brook St first find Citizen's Bank and then find Watson Center,G ( Brook St ) & F ( Citizen's Bank & F ( Watson Center ) )
G(a) & F(b & F(c)),Stay on Brook St first find Citizen's Bank and then find Marston Hall,G ( Brook St ) & F ( Citizen's Bank & F ( Marston Hall ) )
G(a) & F(b & F(c)),Stay on Brook St first find Barus Building and then find Watson Center,G ( Brook St ) & F ( Barus Building & F ( Watson Center ) )
G(a) & F(b & F(c)),Stay on Brook St first find Barus Building and then find Marston Hall,G ( Brook St ) & F ( Barus Building & F ( Marston Hall ) )
G(a) & F(b & F(c)),Stay on Brook St first find Barus Building and then find Citizen's Bank,G ( Brook St ) & F ( Barus Building & F ( Citizen's Bank ) )
G(a) & F(b & F(c)),Stay on Brook St first find Marston Hall and then find Watson Center,G ( Brook St ) & F ( Marston Hall & F ( Watson Center ) )
