LTL template,Sentence,LTL
G(a) & F(b & F(c)),Stay on Brook St first find Marston Hall and then find Barus Building,G ( Brook St ) & F ( Marston Hall & F ( Barus Building ) )
G(a) & F(b & F(c)),Stay on Brook St first find Marston Hall and then find Citizen's Bank,G ( Brook St ) & F ( Marston Hall & F ( Citizen's Bank ) )
G(a) & F(b & F(c)),Stay on Brook St first find Watson Center and then find Marston Hall,G ( Brook St ) & F ( Watson Center & F ( Marston Hall ) )
G(a) & F(b & F(c)),Stay on Brook St first find Watson Center and then find Barus Building,G ( Brook St ) & F ( Watson Center & F ( Barus Building ) )
G(a) & F(b & F(c)),Stay on Brook St first find Watson Center and then find Citizen's Bank,G ( Brook St ) & F ( Watson Center & F ( Citizen's Bank ) )
G(a) & F(b & F(c)),Stay on Angell St first find Chipotle and then find Bookstore,G ( Angell St ) & F ( Chipotle & F ( Bookstore ) )
G(a) & F(b & F(c)),Stay on Angell St first find Bookstore and then find Chipotle,G ( Angell St ) & F ( Bookstore & F ( Chipotle ) )
G(a) & F(b & F(c)),Stay on Angell St first find Chipotle and then find Bookstore,G ( Angell St ) & F ( Chipotle & F ( Bookstore ) )
G(a) & F(b & F(c)),Stay on Angell St first find Bookstore and then find Chipotle,G ( Angell St ) & F ( Bookstore & F ( Chipotle ) )
G(a) & F(b & F(c)),Stay on Angell St first find Chipotle and then find Bookstore,G ( Angell St ) & F ( Chipotle & F ( Bookstore ) )
G(a) & F(b & F(c)),Stay on Angell St first find Bookstore and then find Chipotle,G ( Angell St ) & F ( Bookstore & F ( Chipotle ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Bookstore and then find Science Library,G ( ! Brook St ) & F ( Bookstore & F ( Science Library ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Bookstore and then find Starbucks,G ( ! Brook St ) & F ( Bookstore & F ( Starbucks ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Bookstore and then find Chipotle,G ( ! Brook St ) & F ( Bookstore & F ( Chipotle ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Bookstore and then find Kabob and Curry,G ( ! Brook St ) & F ( Bookstore & F ( Kabob and Curry ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Bookstore and then find CVS,G ( ! Brook St ) & F ( Bookstore & F ( CVS ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Science Library and then find Starbucks,G ( ! Brook St ) & F ( Science Library & F ( Starbucks ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Science Library and then find Chipotle,G ( ! Brook St ) & F ( Science Library & F ( Chipotle ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Science Library and then find Kabob and Curry,G ( ! Brook St ) & F ( Science Library & F ( Kabob and Curry ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Science Library and then find CVS,G ( ! Brook St ) & F ( Science Library & F ( CVS ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Science Library and then find Bookstore,G ( ! Brook St ) & F ( Science Library & F ( Bookstore ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Starbucks and then find Science Library,G ( ! Brook St ) & F ( Starbucks & F ( Science Library ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Starbucks and then find Chipotle,G ( ! Brook St ) & F ( Starbucks & F ( Chipotle ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Starbucks and then find Kabob and Curry,G ( ! Brook St ) & F ( Starbucks & F ( Kabob and Curry ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Starbucks and then find CVS,G ( ! Brook St ) & F ( Starbucks & F ( CVS ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Starbucks and then find Bookstore,G ( ! Brook St ) & F ( Starbucks & F ( Bookstore ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Chipotle and then find Science Library,G ( ! Brook St ) & F ( Chipotle & F ( Science Library ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Chipotle and then find Starbucks,G ( ! Brook St ) & F ( Chipotle & F ( Starbucks ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Chipotle and then find Kabob and Curry,G ( ! Brook St ) & F ( Chipotle & F ( Kabob and Curry ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Chipotle and then find CVS,G ( ! Brook St ) & F ( Chipotle & F ( CVS ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Chipotle and then find Bookstore,G ( ! Brook St ) & F ( Chipotle & F ( Bookstore ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Kabob and Curry and then find Science Library,G ( ! Brook St ) & F ( Kabob and Curry & F ( Science Library ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Kabob and Curry and then find Starbucks,G ( ! Brook St ) & F ( Kabob and Curry & F ( Starbucks ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Kabob and Curry and then find Chipotle,G ( ! Brook St ) & F ( Kabob and Curry & F ( Chipotle ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Kabob and Curry and then find CVS,G ( ! Brook St ) & F ( Kabob and Curry & F ( CVS ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Kabob and Curry and then find Bookstore,G ( ! Brook St ) & F ( Kabob and Curry & F ( Bookstore ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find CVS and then find Science Library,G ( ! Brook St ) & F ( CVS & F ( Science Library ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find CVS and then find Starbucks,G ( ! Brook St ) & F ( CVS & F ( Starbucks ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find CVS and then find Chipotle,G ( ! Brook St ) & F ( CVS & F ( Chipotle ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find CVS and then find Kabob and Curry,G ( ! Brook St ) & F ( CVS & F ( Kabob and Curry ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find CVS and then find Bookstore,G ( ! Brook St ) & F ( CVS & F ( Bookstore ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Bookstore and then find Science Library,G ( ! Brook St ) & F ( Bookstore & F ( Science Library ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Bookstore and then find Starbucks,G ( ! Brook St ) & F ( Bookstore & F ( Starbucks ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Bookstore and then find Chipotle,G ( ! Brook St ) & F ( Bookstore & F ( Chipotle ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Bookstore and then find Kabob and Curry,G ( ! Brook St ) & F ( Bookstore & F ( Kabob and Curry ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Bookstore and then find CVS,G ( ! Brook St ) & F ( Bookstore & F ( CVS ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Bookstore and then find Science Library,G ( ! Angell St ) & F ( Bookstore & F ( Science Library ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Bookstore and then find Starbucks,G ( ! Angell St ) & F ( Bookstore & F ( Starbucks ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Bookstore and then find Chipotle,G ( ! Angell St ) & F ( Bookstore & F ( Chipotle ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Bookstore and then find Kabob and Curry,G ( ! Angell St ) & F ( Bookstore & F ( Kabob and Curry ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Bookstore and then find CVS,G ( ! Angell St ) & F ( Bookstore & F ( CVS ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Science Library and then find Starbucks,G ( ! Angell St ) & F ( Science Library & F ( Starbucks ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Science Library and then find Chipotle,G ( ! Angell St ) & F ( Science Library & F ( Chipotle ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Science Library and then find Kabob and Curry,G ( ! Angell St ) & F ( Science Library & F ( Kabob and Curry ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Science Library and then find CVS,G ( ! Angell St ) & F ( Science Library & F ( CVS ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Science Library and then find Bookstore,G ( ! Angell St ) & F ( Science Library & F ( Bookstore ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Starbucks and then find Science Library,G ( ! Angell St ) & F ( Starbucks & F ( Science Library ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Starbucks and then find Chipotle,G ( ! Angell St ) & F ( Starbucks & F ( Chipotle ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Starbucks and then find Kabob and Curry,G ( ! Angell St ) & F ( Starbucks & F ( Kabob and Curry ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Starbucks and then find CVS,G ( ! Angell St ) & F ( Starbucks & F ( CVS ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Starbucks and then find Bookstore,G ( ! Angell St ) & F ( Starbucks & F ( Bookstore ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Chipotle and then find Science Library,G ( ! Angell St ) & F ( Chipotle & F ( Science Library ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Chipotle and then find Starbucks,G ( ! Angell St ) & F ( Chipotle & F ( Starbucks ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Chipotle and then find Kabob and Curry,G ( ! Angell St ) & F ( Chipotle & F ( Kabob and Curry ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Chipotle and then find CVS,G ( ! Angell St ) & F ( Chipotle & F ( CVS ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Chipotle and then find Bookstore,G ( ! Angell St ) & F ( Chipotle & F ( Bookstore ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Kabob and Curry and then find Science Library,G ( ! Angell St ) & F ( Kabob and Curry & F ( Science Library ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Kabob and Curry and then find Starbucks,G ( ! Angell St ) & F ( Kabob and Curry & F ( Starbucks ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Kabob and Curry and then find Chipotle,G ( ! Angell St ) & F ( Kabob and Curry & F ( Chipotle ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Kabob and Curry and then find CVS,G ( ! Angell St ) & F ( Kabob and Curry & F ( CVS ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Kabob and Curry and then find Bookstore,G ( ! Angell St ) & F ( Kabob and Curry & F ( Bookstore ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find CVS and then find Science Library,G ( ! Angell St ) & F ( CVS & F ( Science Library ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find CVS and then find Starbucks,G ( ! Angell St ) & F ( CVS & F ( Starbucks ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find CVS and then find Chipotle,G ( ! Angell St ) & F ( CVS & F ( Chipotle ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find CVS and then find Kabob and Curry,G ( ! Angell St ) & F ( CVS & F ( Kabob and Curry ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find CVS and then find Bookstore,G ( ! Angell St ) & F ( CVS & F ( Bookstore ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Bookstore and then find Science Library,G ( ! Angell St ) & F ( Bookstore & F ( Science Library ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Bookstore and then find Starbucks,G ( ! Angell St ) & F ( Bookstore & F ( Starbucks ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Bookstore and then find Chipotle,G ( ! Angell St ) & F ( Bookstore & F ( Chipotle ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Bookstore and then find Kabob and Curry,G ( ! Angell St ) & F ( Bookstore & F ( Kabob and Curry ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Bookstore and then find CVS,G ( ! Angell St ) & F ( Bookstore & F ( CVS ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Citizen's Bank and then find Barus Building,G ( ! Thayer St ) & F ( Citizen's Bank & F ( Barus Building ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Citizen's Bank and then find Watson Center,G ( ! Thayer St ) & F ( Citizen's Bank & F ( Watson Center ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Citizen's Bank and then find Marston Hall,G ( ! Thayer St ) & F ( Citizen's Bank & F ( Marston Hall ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Barus Building and then find Watson Center,G ( ! Thayer St ) & F ( Barus Building & F ( Watson Center ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Barus Building and then find Marston Hall,G ( ! Thayer St ) & F ( Barus Building & F ( Marston Hall ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Barus Building and then find Citizen's Bank,G ( ! Thayer St ) & F ( Barus Building & F ( Citizen's Bank ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Marston Hall and then find Watson Center,G ( ! Thayer St ) & F ( Marston Hall & F ( Watson Center ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Marston Hall and then find Barus Building,G ( ! Thayer St ) & F ( Marston Hall & F ( Barus Building ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Marston Hall and then find Citizen's Bank,G ( ! Thayer St ) & F ( Marston Hall & F ( Citizen's Bank ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Watson Center and then find Marston Hall,G ( ! Thayer St ) & F ( Watson Center & F ( Marston Hall ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Watson Center and then find Barus Building,G ( ! Thayer St ) & F ( Watson Center & F ( Barus Building ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Watson Center and then find Citizen's Bank,G ( ! Thayer St ) & F ( Watson Center & F ( Citizen's Bank ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Citizen's Bank and then find Barus Building,G ( ! Thayer St ) & F ( Citizen's Bank & F ( Barus Building ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Citizen's Bank and then find Watson Center,G ( ! Thayer St ) & F ( Citizen's Bank & F ( Watson Center ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Citizen's Bank and then find Marston Hall,G ( ! Thayer St ) & F ( Citizen's Bank & F ( Marston Hall ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Barus Building and then find Watson Center,G ( ! Thayer St ) & F ( Barus Building & F ( Watson Center ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Barus Building and then find Marston Hall,G ( ! Thayer St ) & F ( Barus Building & F ( Marston Hall ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Barus Building and then find Citizen's Bank,G ( ! Thayer St ) & F ( Barus Building & F ( Citizen's Bank ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Marston Hall and then find Watson Center,G ( ! Thayer St ) & F ( Marston Hall & F ( Watson Center ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Marston Hall and then find Barus Building,G ( ! Thayer St ) & F ( Marston Hall & F ( Barus Building ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Marston Hall and then find Citizen's Bank,G ( ! Thayer St ) & F ( Marston Hall & F ( Citizen's Bank ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Watson Center and then find Marston Hall,G ( ! Thayer St ) & F ( Watson Center & F ( Marston Hall ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Watson Center and then find Barus Building,G ( ! Thayer St ) & F ( Watson Center & F ( Barus Building ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Watson Center and then find Citizen's Bank,G ( ! Thayer St ) & F ( Watson Center & F ( Citizen's Bank ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Citizen's Bank and then find Barus Building,G ( ! Angell St ) & F ( Citizen's Bank & F ( Barus Building ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Citizen's Bank and then find Watson Center,G ( ! Angell St ) & F ( Citizen's Bank & F ( Watson Center ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Citizen's Bank and then find Marston Hall,G ( ! Angell St ) & F ( Citizen's Bank & F ( Marston Hall ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Barus Building and then find Watson Center,G ( ! Angell St ) & F ( Barus Building & F ( Watson Center ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Barus Building and then find Marston Hall,G ( ! Angell St ) & F ( Barus Building & F ( Marston Hall ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Barus Building and then find Citizen's Bank,G ( ! Angell St ) & F ( Barus Building & F ( Citizen's Bank ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Marston Hall and then find Watson Center,G ( ! Angell St ) & F ( Marston Hall & F ( Watson Center ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Marston Hall and then find Barus Building,G ( ! Angell St ) & F ( Marston Hall & F ( Barus Building ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Marston Hall and then find Citizen's Bank,G ( ! Angell St ) & F ( Marston Hall & F ( Citizen's Bank ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Watson Center and then find Marston Hall,G ( ! Angell St ) & F ( Watson Center & F ( Marston Hall ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Watson Center and then find Barus Building,G ( ! Angell St ) & F ( Watson Center & F ( Barus Building ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Watson Center and then find Citizen's Bank,G ( ! Angell St ) & F ( Watson Center & F ( Citizen's Bank ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Citizen's Bank and then find Barus Building,G ( ! Angell St ) & F ( Citizen's Bank & F ( Barus Building ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Citizen's Bank and then find Watson Center,G ( ! Angell St ) & F ( Citizen's Bank & F ( Watson Center ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Citizen's Bank and then find Marston Hall,G ( ! Angell St ) & F ( Citizen's Bank & F ( Marston Hall ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Barus Building and then find Watson Center,G ( ! Angell St ) & F ( Barus Building & F ( Watson Center ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Barus Building and then find Marston Hall,G ( ! Angell St ) & F ( Barus Building & F ( Marston Hall ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Barus Building and then find Citizen's Bank,G ( ! Angell St ) & F ( Barus Building & F ( Citizen's Bank ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Marston Hall and then find Watson Center,G ( ! Angell St ) & F ( Marston Hall & F ( Watson Center ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Marston Hall and then find Barus Building,G ( ! Angell St ) & F ( Marston Hall & F ( Barus Building ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Marston Hall and then find Citizen's Bank,G ( ! Angell St ) & F ( Marston Hall & F ( Citizen's Bank ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Watson Center and then find Marston Hall,G ( ! Angell St ) & F ( Watson Center & F ( Marston Hall ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Watson Center and then find Barus Building,G ( ! Angell St ) & F ( Watson Center & F ( Barus Building ) )
G(!a) & F(b & F(c)),Do not enter Angell St first find Watson Center and then find Citizen's Bank,G ( ! Angell St ) & F ( Watson Center & F ( Citizen's Bank ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Chipotle and then find Bookstore,G ( ! Thayer St ) & F ( Chipotle & F ( Bookstore ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Bookstore and then find Chipotle,G ( ! Thayer St ) & F ( Bookstore & F ( Chipotle ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Chipotle and then find Bookstore,G ( ! Thayer St ) & F ( Chipotle & F ( Bookstore ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Bookstore and then find Chipotle,G ( ! Thayer St ) & F ( Bookstore & F ( Chipotle ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Chipotle and then find Bookstore,G ( ! Thayer St ) & F ( Chipotle & F ( Bookstore ) )
G(!a) & F(b & F(c)),Do not enter Thayer St first find Bookstore and then find Chipotle,G ( ! Thayer St ) & F ( Bookstore & F ( Chipotle ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Chipotle and then find Bookstore,G ( ! Brook St ) & F ( Chipotle & F ( Bookstore ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Bookstore and then find Chipotle,G ( ! Brook St ) & F ( Bookstore & F ( Chipotle ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Chipotle and then find Bookstore,G ( ! Brook St ) & F ( Chipotle & F ( Bookstore ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Bookstore and then find Chipotle,G ( ! Brook St ) & F ( Bookstore & F ( Chipotle ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Chipotle and then find Bookstore,G ( ! Brook St ) & F ( Chipotle & F ( Bookstore ) )
G(!a) & F(b & F(c)),Do not enter Brook St first find Bookstore and then find Chipotle,G ( ! Brook St ) & F ( Bookstore & F ( Chipotle ) )
