Pattern Type,NProps,Utterance,True LTL,Out LTL,,
visit,1,Head straight across the street to Christian Spiritualist Temple.,F christian_spiritualist_temple,F christian_spiritualist_temple,TRUE,TRUE
visit,1,Head straight to the Christian Spiritualist Temple,F christian_spiritualist_temple,F christian_spiritualist_temple,TRUE,TRUE
visit,1,Head right to the church.,F christian_spiritualist_temple,F christian_spiritualist_temple,TRUE,TRUE
visit,1,Navigate to the Christian Spiritualist Temple but don't go near Grant Medical Center on the way there.,F christian_spiritualist_temple,& U ! grant_medical_center christian_spiritualist_temple F christian_spiritualist_temple,FALSE,TRUE
visit,1,Head in a straight line to Christian Spiritualist Temple.,F christian_spiritualist_temple,F christian_spiritualist_temple,TRUE,TRUE
visit,1,Go straight to Christian Spiritualist Temple,F christian_spiritualist_temple,F christian_spiritualist_temple,TRUE,TRUE
visit,1,Move directly to the Christian Spiritualist Temple,F christian_spiritualist_temple,F christian_spiritualist_temple,TRUE,TRUE
visit,1,advance to the temple.,F christian_spiritualist_temple,F christian_spiritualist_temple,TRUE,TRUE
visit,1,Move to Christian Spiritualist Temple.,F christian_spiritualist_temple,F christian_spiritualist_temple,TRUE,TRUE
visit,1,Head directly to the Christian Spiritualist Temple.,F christian_spiritualist_temple,F christian_spiritualist_temple,TRUE,TRUE
visit,2,Move through the medical center as you proceed to the church.,F & grant_medical_center F christian_spiritualist_temple,F & grant_medical_center F christian_spiritualist_temple,TRUE,TRUE
visit,2,stop by the hospital on the way to the church,F & grant_medical_center F christian_spiritualist_temple,F & grant_medical_center F christian_spiritualist_temple,TRUE,TRUE
visit,2,Go to Grant Medical Center while on your way to Christian Spiritualist Temple,F & grant_medical_center F christian_spiritualist_temple,F & christian_spiritualist_temple F grant_medical_center,FALSE,FALSE
visit,2,"Go to Grant Medical Center, then go to the Christian Spiritualist Temple.",F & grant_medical_center F christian_spiritualist_temple,F & grant_medical_center F christian_spiritualist_temple,TRUE,TRUE
visit,2,Go straight to Grant Medical Center and then continue to the temple.,F & grant_medical_center F christian_spiritualist_temple,F & grant_medical_center F christian_spiritualist_temple,TRUE,TRUE
visit,2,Stop by Grant Medical Center on your way to the Church.,F & grant_medical_center F christian_spiritualist_temple,F & grant_medical_center F christian_spiritualist_temple,TRUE,TRUE
visit,2,First go to Grand Medical Center and then head to Christian Spiritualist Temple.,F & grant_medical_center F christian_spiritualist_temple,F & grant_medical_center F christian_spiritualist_temple,TRUE,TRUE
visit,2,Navigate to the Temple and avoid the Library.,F & grant_medical_center F christian_spiritualist_temple,& U ! columbus_metropolitan_library_main christian_spiritualist_temple F christian_spiritualist_temple,FALSE,TRUE
visit,2,Move to Grant Medical Center and than navigate to Christian Spiritualist Temple.,F & grant_medical_center F christian_spiritualist_temple,F & grant_medical_center F christian_spiritualist_temple,TRUE,TRUE
visit,2,navigat to the medical center then continue to the temple.,F & grant_medical_center F christian_spiritualist_temple,F & grant_medical_center F christian_spiritualist_temple,TRUE,TRUE
visit,2,Go to Christian Spiritualist Temple while on your way to Columbus Metropolitan Library,F & christian_spiritualist_temple F columbus_metropolitan_library_main,F & christian_spiritualist_temple F columbus_metropolitan_library_main,TRUE,TRUE
visit,2,Avoid the Medical Center on your way to the Columbus Library.,F & christian_spiritualist_temple F columbus_metropolitan_library_main,U ! grant_medical_center columbus_metropolitan_library_main,FALSE,TRUE
visit,2,Go south to Christian Spiritualist Temple and then head east to the Library.,F & christian_spiritualist_temple F columbus_metropolitan_library_main,F & christian_spiritualist_temple F columbus_metropolitan_library_main,TRUE,TRUE
visit,2,Make your first stop at Christian Spiritualist before moving on to Columbus Metropolitan Library,F & christian_spiritualist_temple F columbus_metropolitan_library_main,U ! columbus_metropolitan_library_main christian_spiritualist_temple,FALSE,TRUE
visit,2,"When you get to the religious temple, turn left and go straight to the Columbus Metropolitan Library.",F & christian_spiritualist_temple F columbus_metropolitan_library_main,G i christian_spiritualist_temple X columbus_metropolitan_library_main,FALSE,TRUE
visit,2,"Go to the Christian Spiritualist Temple, then go to the Columbus Metropolitan Library.",F & christian_spiritualist_temple F columbus_metropolitan_library_main,F & christian_spiritualist_temple F columbus_metropolitan_library_main,TRUE,TRUE
visit,2,Enter the church on the path to the library.,F & christian_spiritualist_temple F columbus_metropolitan_library_main,F christian_spiritualist_temple,FALSE,FALSE
visit,2,Travel to the library while visiting the church on the way there.,F & christian_spiritualist_temple F columbus_metropolitan_library_main,F & christian_spiritualist_temple F columbus_metropolitan_library_main,TRUE,TRUE
visit,2,Go to the temple then continue to the library,F & christian_spiritualist_temple F columbus_metropolitan_library_main,F & christian_spiritualist_temple F columbus_metropolitan_library_main,TRUE,TRUE
visit,2,"Go down to Christian Spiritualist Temple, then travel over to the Columbus Metropolitan Library.",F & christian_spiritualist_temple F columbus_metropolitan_library_main,F & christian_spiritualist_temple F columbus_metropolitan_library_main,TRUE,TRUE
visit,2,"Go to the Columbus Metropolitan Library, then go to Grant Medical Center.",F & columbus_metropolitan_library_main F grant_medical_center,F & columbus_metropolitan_library_main F grant_medical_center,TRUE,TRUE
visit,2,Head straight to Columbus Metropolitan Library and make your second stop at Grant Medical Center,F & columbus_metropolitan_library_main F grant_medical_center,F & columbus_metropolitan_library_main F grant_medical_center,TRUE,TRUE
visit,2,"Navigate first to the Columbus Metropolitan Library, and then to the Grant Medical Center",F & columbus_metropolitan_library_main F grant_medical_center,F & columbus_metropolitan_library_main F grant_medical_center,TRUE,TRUE
visit,2,Go to Columbus Metropolitan Library while on your way to Grant Medical Center,F & columbus_metropolitan_library_main F grant_medical_center,F & columbus_metropolitan_library_main F grant_medical_center,TRUE,TRUE
visit,2,Enter the library then proceed to the medical center.,F & columbus_metropolitan_library_main F grant_medical_center,F & columbus_metropolitan_library_main F grant_medical_center,TRUE,TRUE
visit,2,Navigate to Columbus Metropolitan Library then proceed onto Grant Medical Center.,F & columbus_metropolitan_library_main F grant_medical_center,F & columbus_metropolitan_library_main F grant_medical_center,TRUE,TRUE
visit,2,Go straight to Columbus Metropolitan Library then proceed to Grant Medical Center.,F & columbus_metropolitan_library_main F grant_medical_center,F & columbus_metropolitan_library_main F grant_medical_center,TRUE,TRUE
visit,2,Go straight to the Columbus Metropolitan Library and then west to Grant Medical Center.,F & columbus_metropolitan_library_main F grant_medical_center,F & columbus_metropolitan_library_main F grant_medical_center,TRUE,TRUE
visit,2,proceed to the library then continue to the medical center.,F & columbus_metropolitan_library_main F grant_medical_center,F & columbus_metropolitan_library_main F grant_medical_center,TRUE,TRUE
visit,2,go to the library and then the hospital,F & columbus_metropolitan_library_main F grant_medical_center,F & columbus_metropolitan_library_main F grant_medical_center,TRUE,TRUE
visit,2,Navigate To Grant Medical center then proceed to Columbus Metropolitan Library,F & grant_medical_center F columbus_metropolitan_library_main,F & grant_medical_center F columbus_metropolitan_library_main,TRUE,TRUE
visit,2,Go to Grant Medical Center while on your way to Columbus Metropolitan Library,F & grant_medical_center F columbus_metropolitan_library_main,F & columbus_metropolitan_library_main F grant_medical_center,FALSE,FALSE
visit,2,Move to Colombus Metropolitan Library after stopping by the Grant Medical Center,F & grant_medical_center F columbus_metropolitan_library_main,F & grant_medical_center F columbus_metropolitan_library_main,TRUE,TRUE
visit,2,Go to the medical center before going over to the library.,F & grant_medical_center F columbus_metropolitan_library_main,U ! columbus_metropolitan_library_main grant_medical_center,FALSE,TRUE
visit,2,"Travel to Grant Medical Center, then keep going until you reach Columbus Metropolitan Library.",F & grant_medical_center F columbus_metropolitan_library_main,U grant_medical_center columbus_metropolitan_library_main,FALSE,FALSE
visit,2,"Head straight to Grant Medical Center, and from there navigate to the Columbus Metropolitan Library",F & grant_medical_center F columbus_metropolitan_library_main,F & grant_medical_center F columbus_metropolitan_library_main,TRUE,TRUE
visit,2,Turn right at Grant Medical Center and continue to  the library.,F & grant_medical_center F columbus_metropolitan_library_main,F grant_medical_center,FALSE,FALSE
visit,2,Head to the Grant Medical center and after that go straight to the Columbus Metropolitan Library.,F & grant_medical_center F columbus_metropolitan_library_main,F & grant_medical_center F columbus_metropolitan_library_main,TRUE,TRUE
visit,2,proceed to the medical center then advance to the library.,F & grant_medical_center F columbus_metropolitan_library_main,F & grant_medical_center F columbus_metropolitan_library_main,TRUE,TRUE
visit,2,Navigate to the library by first entering the Medical center.,F & grant_medical_center F columbus_metropolitan_library_main,F & grant_medical_center F columbus_metropolitan_library_main,TRUE,TRUE