Pattern Type,NProps,Utterance,True LTL,Out LTL,
visit,1,Go straight towards Novel Cafe Westwood,F novel_cafe_westwood,F novel_cafe_westwood,TRUE
visit,1,Move straight to Novel Cafe.,F novel_cafe_westwood,F novel_cafe_westwood,TRUE
visit,1,Go straight to Novel Café.,F novel_cafe_westwood,F novel_cafe_westwood,TRUE
visit,1,Navigate to the Novel Cafe.,F novel_cafe_westwood,F novel_cafe_westwood,TRUE
visit,1,Go straight to the other side of the block at the Novel Cafe Westwood.,F novel_cafe_westwood,G ! novel_cafe_westwood,FALSE
visit,1,Drive past Native foods than land at Novel Cafe.,F novel_cafe_westwood,F & native_foods F novel_cafe_westwood,TRUE
visit,1,"Avoid Veggie Grill on your way to Novel Cafe.
Navigate to the cafe and avoid turning left to the grill.
Proceed to the Novel Cafe Westwood while avoiding the vegan restaurant.",F novel_cafe_westwood,& U ! veggie_grill novel_cafe_westwood & U ! g veggie_grill & U ! v g F v,FALSE
visit,1,Go to Novel Cafe.,F novel_cafe_westwood,F novel_cafe_westwood,TRUE
visit,1,Avoid the Veggie Grill on your way to the Novel Cafe.,F novel_cafe_westwood,U ! veggie_grill novel_cafe_westwood,FALSE
visit,1,Make your way in a straight line to Novel Cafe Westwood,F novel_cafe_westwood,F novel_cafe_westwood,TRUE
visit,2,Navigate to Novel Café on your way to Veggie Grill.,F & novel_cafe_westwood F veggie_grill,F & novel_cafe_westwood F veggie_grill,TRUE
visit,2,"Go to the Novel Cafe, then continue on to the Veggie Grill, avoiding Urban Outfitters on the way.",F & novel_cafe_westwood F veggie_grill,& U ! veggie_grill novel_cafe_westwood F veggie_grill,FALSE
visit,2,Go to Novel Cafe Westwood on your way to Veggie Grill,F & novel_cafe_westwood F veggie_grill,F & novel_cafe_westwood F veggie_grill,TRUE
visit,2,Proceed to the cafe and then to Veggie Grill.,F & novel_cafe_westwood F veggie_grill,F & poke_bar F veggie_grill,FALSE
visit,2,"Go to the Novel Cafe Westwood, then head to the Veggie Grill.",F & novel_cafe_westwood F veggie_grill,F & novel_cafe_westwood F veggie_grill,TRUE
visit,2,Move to Movel Cafe Westwood and than navigate to veggie grill.,F & novel_cafe_westwood F veggie_grill,F & novel_cafe_westwood F veggie_grill,TRUE
visit,2,Go straight and stop at the Novel Cafe Westwood before heading in a 45 degree angle to the Veggie Grill.,F & novel_cafe_westwood F veggie_grill,& U ! veggie_grill novel_cafe_westwood F veggie_grill,TRUE
visit,2,Go to Novel Cafe and then over to the vegan grill,F & novel_cafe_westwood F veggie_grill,F & novel_cafe_westwood F veggie_grill,TRUE
visit,2,Go to Novel Cafe and then turn to go to Veggie Grill.,F & novel_cafe_westwood F veggie_grill,F & novel_cafe_westwood F veggie_grill,TRUE
visit,2,Go to Novel Cafe then directly to Veggie Grill.,F & novel_cafe_westwood F veggie_grill,F & novel_cafe_westwood F veggie_grill,TRUE
visit,2,Go to Urban Outfitters on your way to Novel Cafe Westwood,F & urban_outfitters F novel_cafe_westwood,F & urban_outfitters F novel_cafe_westwood,TRUE
visit,2,First navigate to Urban Outfitters and then to Novel Café.,F & urban_outfitters F novel_cafe_westwood,F & urban_outfitters F novel_cafe_westwood,TRUE
visit,2,Hit Urban Outfitters than swing left to the novel cafe.,F & urban_outfitters F novel_cafe_westwood,F & urban_outfitters F novel_cafe_westwood,TRUE
visit,2,Go across Westwood Boulevard to Urban Outfitters and then reverse to Novel Cafe.,F & urban_outfitters F novel_cafe_westwood,F & westwood_village F novel_cafe_westwood,FALSE
visit,2,"Go to Urban Outfitters, then go to Novel Cafe.",F & urban_outfitters F novel_cafe_westwood,F & urban_outfitters F novel_cafe_westwood,TRUE
visit,2,Go straight until you read the Urban Outfitters and then go left to Novel Cafe Westwood.,F & urban_outfitters F novel_cafe_westwood,U & urban_outfitters F novel_cafe_westwood,Syntax Error
visit,2,Go straight to the Novel Cafe while avoiding the Veggie Grill.,F & urban_outfitters F novel_cafe_westwood,& U ! veggie_grill novel_cafe_westwood F novel_cafe_westwood,TRUE
visit,2,Head to Urban Outfitters and then over to Novel Cafe,F & urban_outfitters F novel_cafe_westwood,F & urban_outfitters F novel_cafe_westwood,TRUE
visit,2,Go in a straight line to Urban Outfitters before making your next stop at Novel Cafe,F & urban_outfitters F novel_cafe_westwood,& U ! urban_outfitters novel_cafe_westwood F urban_outfitters,FALSE
visit,2,navigate to Urban Outfitters then proceed to the cafe,F & urban_outfitters F novel_cafe_westwood,F & urban_outfitters F poke_bar,FALSE
visit,2,Navigate to Urban Outfitters while passing through the Veggie Grill.,F & veggie_grill F urban_outfitters,F & veggie_grill F urban_outfitters,TRUE
visit,2,First go to Veggie Grill and then go to Urban Outfitters.,F & veggie_grill F urban_outfitters,F & veggie_grill F urban_outfitters,TRUE
visit,2,Go to Veggie Grill on your way to Urban Outfitters,F & veggie_grill F urban_outfitters,F & veggie_grill F urban_outfitters,TRUE
visit,2,Go to the vegan restaurant on your way to Urban Outfitters.,F & veggie_grill F urban_outfitters,F & tender_greens F urban_outfitters,FALSE
visit,2,"Go to the Veggie Grill, then go to Urban Outfitters.",F & veggie_grill F urban_outfitters,F & veggie_grill F urban_outfitters,TRUE
visit,2,Go straight before turning at the Veggie Grill and then turn left.,F & veggie_grill F urban_outfitters,& U ! veggie_grill F l,Syntax Error
visit,2,Move toward veggie grill.,F & veggie_grill F urban_outfitters,F veggie_grill,FALSE
visit,2,Disregard the Novel Cafe Westwood entirely on the way to Veggie Grill.,F & veggie_grill F urban_outfitters,G ! novel_cafe_westwood veggie_grill,Syntax Error
visit,2,Make a stop at the Veggie Grill on your way to Urban Outfitters.,F & veggie_grill F urban_outfitters,F & veggie_grill F urban_outfitters,TRUE
visit,2,Go to Veggie Grill for your first stop and then head to Urban Outfitters,F & veggie_grill F urban_outfitters,F & veggie_grill F urban_outfitters,TRUE